bin_number,bin_name,age_at_base,full_bin_name
1,CAM1,541,Cambrian 1
2,CAM2,521,Cambrian 2
3,CAM3,509,Cambrian 3
4,CAM4,497,Furongian
5,Trem,485.4,Tremadoc
6,Floi,477.7,Floian
7,Dapi,470,Dapingian
8,Darr,467.3,Darriwilian
9,Sand,458.4,Sandbian
10,Kati,453,Katian
11,Hirn,445.2,Hirnantian
12,Ldov,443.4,Llandovery
13,Wenl,433.4,Wenlock
14,Ludl,427.4,Ludlow
15,Prid,423,Pridoli
16,Gedi,419.2,Lochkovian
17,Sieg,410.8,Pragian
18,Emsi,407.6,Emsian
19,Eife,393.3,Eifelian
20,Give,387.7,Givetian
21,Fras,382.7,Frasnian
22,Fame,372.2,Famennian
23,Tour,358.9,Tournaisian
24,Vise,346.7,Visean
25,Serp,330.9,Serpukhovian
26,Bash,323.2,Bashkirian
27,Mosc,315.2,Moscovian
28,Step,307,Stephanian
29,Asse,298.9,Asselian
30,Sakm,295.5,Sakmarian
31,Arti,290.1,Artinskian
32,Kung,279.2,Kungurian
33,Road,272.3,Roadian
34,Word,268.8,Wordian
35,Capi,265.1,Capitanian
36,Wuchi,259.8,Wuchiapingian
37,Chang,254.2,Changhsingian
38,Indu,252.2,Induan
39,Olen,250,Olenekian
40,Anis,247.1,Anisian
41,Ladi,241.5,Ladinian
42,Carn,237,Carnian
43,Nori,228.4,Norian
44,Rhae,209,Rhaetian
45,Hett,201.3,Hettangian
46,Sine,199.3,Sinemurian
47,Plie,190.8,Pliensbachian
48,Toar,182.7,Toarcian
49,Aale,174.1,Aalenian
50,Bajo,170.3,Bajocian
51,Bath,168.3,Bathonian
52,Call,166.1,Callovian
53,Oxfo,163.5,Oxfordian
54,Kimm,157.3,Kimmeridgian
55,Tith,152.1,Tithonian
56,Berr,145,Berriasian
57,Vala,139.4,Valanginian
58,Haut,133.9,Hauterivian
59,Barr,130.8,Barremian
60,Apti,126.3,Aptian
61,Albi,113,Albian
62,Ceno,100.5,Cenomanian
63,Turo,93.9,Turonian
64,Coni,89.8,Coniacian
65,Sant,86.3,Santonian
66,Camp,83.6,Campanian
67,Maes,72.1,Maastrichtian
68,Pale-l,66,Paleocene (lower)
69,Pale-u,61.6,Paleocene (upper)
70,Eo-l,56,Eocene (lower)
71,Eo-m,47.8,Eocene (middle)
72,Eo-u,37.8,Eocene (upper)
73,Olig,33.9,Oligocene
74,Mi-l,23,Miocene (lower)
75,Mi-m,16,Miocene (middle)
76,Mi-u,11.6,Miocene (upper)
77,Plio,5.3,Pliocene
78,Plei,1.8,Pleistocene
79,R,0.01,Recent
