"","x"
"1","Acambona"
"2","Acanthospirifer"
"3","Acanthospirina"
"4","Acolosia"
"5","Acosarina"
"6","Acrospirifer"
"7","Actinoconchus"
"8","Acuminothyris"
"9","Acutatheca"
"10","Adolfia"
"11","Adolfispirifer"
"12","Adrenia"
"13","Afilasma"
"14","Agarhyncha"
"15","Alaskospira"
"16","Alatiformia"
"17","Aldanispirifer"
"18","Aldina"
"19","Alispira"
"20","Alispirifer"
"21","Alispiriferella"
"22","Allanella"
"23","Allorhynchoides"
"24","Allorhynchus"
"25","Alphaneospirifer"
"26","Altajella"
"27","Altiplecus"
"28","Ambikella"
"29","Ambocoelia"
"30","Amboglossa"
"31","Ambothyris"
"32","Amissopecten"
"33","Amoenospirifer"
"34","Amphigenia"
"35","Amphipella"
"36","Amsdenina"
"37","Amygdalocosta"
"38","Anaptychius"
"39","Anastrophia"
"40","Anathyris"
"41","Anatrypa"
"42","Ancillotoechia"
"43","Ancistrorhyncha"
"44","Aneuthelasma"
"45","Anomalesia"
"46","Anomaloria"
"47","Anomalorthis"
"48","Anoplotheca"
"49","Anteridocus"
"50","Anthracospirifer"
"51","Apatorthis"
"52","Aperispirifer"
"53","Aphaurosia"
"54","Apollonorthis"
"55","Apousiella"
"56","Araratella"
"57","Araspirifer"
"58","Aratoechia"
"59","Araxathyris"
"60","Arctomeristina"
"61","Arcualla"
"62","Arcullina"
"63","Arduspirifer"
"64","Arionthia"
"65","Ascanigypa"
"66","Aseptalium"
"67","Aseptirhynchia"
"68","Astegosia"
"69","Astua"
"70","Astutorhyncha"
"71","Asyrinxia"
"72","Athyrhynchus"
"73","Athyris"
"74","Athyrisina"
"75","Atribonium"
"76","Atrypa"
"77","Atryparia"
"78","Atrypina"
"79","Atrypinella"
"80","Atrypinopsis"
"81","Atrypoidea"
"82","Atrythyris"
"83","Attenuatella"
"84","Aulacatrypa"
"85","Aulacella"
"86","Aulacophoria"
"87","Australirhynchia"
"88","Australocoelia"
"89","Australospirifer"
"90","Axiodeaneia"
"91","Azurduya"
"92","Bajkuria"
"93","Bajtugania"
"94","Balanoconcha"
"95","Bamberina"
"96","Bancroftina"
"97","Basilicorhynchus"
"98","Baturria"
"99","Beachia"
"100","Beckmannia"
"101","Beitaia"
"102","Bergalaria"
"103","Betaneospirifer"
"104","Bicamella"
"105","Biconostrophia"
"106","Biconvexiella"
"107","Biernatella"
"108","Bifida"
"109","Birchsella"
"110","Bisinocoelia"
"111","Blasispirifer"
"112","Bleshidium"
"113","Bojothyris"
"114","Booralia"
"115","Borealis"
"116","Bornhardtina"
"117","Boucotia"
"118","Boucotides"
"119","Boucotinskia"
"120","Brachyspirifer"
"121","Brachythyrina"
"122","Brachythyrinella"
"123","Brachythyris"
"124","Brachyzyga"
"125","Brandysia"
"126","Branikia"
"127","Brevilamnulella"
"128","Browneella"
"129","Brunnirhyncha"
"130","Bryorhynchus"
"131","Buchanathyris"
"132","Cacemia"
"133","Callaiapsida"
"134","Callipleura"
"135","Callispirina"
"136","Calvinaria"
"137","Calvustrigis"
"138","Camarelasma"
"139","Camarophorella"
"140","Camarophorinella"
"141","Camarospira"
"142","Camarotoechia"
"143","Camerella"
"144","Camerisma"
"145","Campbellelasma"
"146","Campylorthis"
"147","Cancellospirifer"
"148","Cardiarina"
"149","Cardiothyris"
"150","Carinagypa"
"151","Carinatina"
"152","Carinatrypa"
"153","Cariniferella"
"154","Cartorhium"
"155","Caryogyps"
"156","Caryorhynchus"
"157","Cassidirostrum"
"158","Catazyga"
"159","Cathayspirina"
"160","Cenorhynchia"
"161","Centronella"
"162","Centronelloidea"
"163","Centrorhynchus"
"164","Cerberatrypa"
"165","Chaeniorhynchus"
"166","Chapinella"
"167","Chapursania"
"168","Charionoides"
"169","Chascothyris"
"170","Chaulistomella"
"171","Chondronia"
"172","Choristitella"
"173","Choristites"
"174","Chuiella"
"175","Cimicinella"
"176","Cinerorthis"
"177","Cingulodermis"
"178","Clarkeia"
"179","Clavodalejina"
"180","Cleiothyridina"
"181","Clorinda"
"182","Clorindina"
"183","Coelospira"
"184","Coelospirella"
"185","Coelospirina"
"186","Coeloterorhynchus"
"187","Coledium"
"188","Comatopoma"
"189","Comelicania"
"190","Comelicothyris"
"191","Comiotoechia"
"192","Composita"
"193","Conchidium"
"194","Cordatomyonia"
"195","Corineorthis"
"196","Cortezorthis"
"197","Corvinopugnax"
"198","Corylispirifer"
"199","Costanoplia"
"200","Costatispirifer"
"201","Costatrypa"
"202","Costellirostra"
"203","Costellispirifer"
"204","Costicrura"
"205","Costispirifer"
"206","Costistricklandia"
"207","Cranaena"
"208","Crassipunctatrypa"
"209","Crassispirifer"
"210","Crassumbo"
"211","Cratispirifer"
"212","Crenispirifer"
"213","Crinisarina"
"214","Cromatrypa"
"215","Cruricella"
"216","Crurispina"
"217","Cryptacanthia"
"218","Cryptonella"
"219","Cryptospirifer"
"220","Cundaria"
"221","Cuparius"
"222","Cupularostrum"
"223","Cyclospira"
"224","Cydimia"
"225","Cymbidium"
"226","Cyrolexis"
"227","Cyrtella"
"228","Cyrtia"
"229","Cyrtina"
"230","Cyrtinaella"
"231","Cyrtinopsis"
"232","Cyrtiopsis"
"233","Cyrtospirifer"
"234","Dalaia"
"235","Dalejina"
"236","Dalerhynchus"
"237","Dalmanella"
"238","Dalmanellopsis"
"239","Darbandia"
"240","Darvasia"
"241","Davidsonia"
"242","Davidsonina"
"243","Dayia"
"244","Decoropugnax"
"245","Deltarina"
"246","Delthyris"
"247","Derbyina"
"248","Desquamatia"
"249","Devonatrypa"
"250","Devonogypa"
"251","Dicamara"
"252","Dichospirifer"
"253","Dichozygopleura"
"254","Dicoelosia"
"255","Dicoelospirifer"
"256","Didymelasma"
"257","Didymoparcium"
"258","Dielasma"
"259","Dielasmella"
"260","Dielasmina"
"261","Dimegelasma"
"262","Dinorthis"
"263","Diparelasma"
"264","Discomyorthis"
"265","Divaricosta"
"266","Dmitria"
"267","Doleroides"
"268","Dolerorthis"
"269","Domokhotia"
"270","Donispirifer"
"271","Dorytreta"
"272","Draborthis"
"273","Drabovia"
"274","Eatonia"
"275","Echinocoelia"
"276","Ectochoristites"
"277","Ectoposia"
"278","Ectorensselandia"
"279","Elasmata"
"280","Elassonia"
"281","Elinoria"
"282","Elita"
"283","Eliva"
"284","Elivella"
"285","Elivina"
"286","Ella"
"287","Elymospirifer"
"288","Elythyna"
"289","Emanuella"
"290","Enallosia"
"291","Enantiosphen"
"292","Enteletella"
"293","Enteletes"
"294","Enteletina"
"295","Eobrachythyris"
"296","Eochoristites"
"297","Eocoelia"
"298","Eodalmanella"
"299","Eoglossinotoechia"
"300","Eolaballa"
"301","Eomartiniopsis"
"302","Eoorthis"
"303","Eoparaphorhynchus"
"304","Eoreticularia"
"305","Eorhipidomella"
"306","Eosophragmophora"
"307","Eospinatrypa"
"308","Eospirifer"
"309","Eospiriferina"
"310","Eospirigerina"
"311","Eosyringothyris"
"312","Epitomyonia"
"313","Eridmatus"
"314","Eridorthis"
"315","Estonirhynchia"
"316","Etymothyris"
"317","Eucharitina"
"318","Eudoxina"
"319","Eumetabolotoechia"
"320","Eumetria"
"321","Euorthisina"
"322","Euryspirifer"
"323","Evanescirostrum"
"324","Evenkina"
"325","Exatrypa"
"326","Falsatrypa"
"327","Farmerella"
